0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
63756.0,0.0065,-0.6835,-0.7433,-0.55,-0.12,0.31,-80.0,-8.0,-31.0,24.97,47.0,100.84,-137.4,-0.4,185.7,118.3,-48.9
63968.0,0.0083,-0.6849,-0.743,-0.43,0.0,0.31,-77.0,-12.0,-30.0,24.97,47.0,100.84,-137.3,-0.5,188.9,153.6,-46.6
64179.0,0.0073,-0.684,-0.7424,-0.31,-0.06,0.31,-79.0,-8.0,-36.0,24.97,47.0,100.85,-137.3,-0.4,185.8,297.0,-40.9
64391.0,0.0063,-0.6843,-0.7437,-0.18,-0.06,0.37,-79.0,-9.0,-32.0,24.97,47.0,100.84,-137.4,-0.4,186.5,219.9,-43.5
64602.0,0.0081,-0.6846,-0.7434,-0.24,0.0,0.37,-77.0,-10.0,-33.0,24.97,47.0,100.85,-137.4,-0.5,187.4,231.9,-43.0
64813.0,0.0062,-0.6842,-0.7434,-0.24,0.0,0.37,-79.0,-8.0,-31.0,24.97,47.0,100.85,-137.4,-0.4,185.8,322.2,-40.1
65024.0,0.0063,-0.6836,-0.743,-0.31,0.0,0.37,-79.0,-7.0,-33.0,24.97,47.0,100.85,-137.4,-0.4,185.1,154.1,-46.6
65236.0,0.0065,-0.6838,-0.7444,-0.55,-0.06,0.37,-79.0,-8.0,-30.0,24.97,47.0,100.85,-137.4,-0.4,185.8,183.6,-45.0
65447.0,0.0063,-0.6844,-0.7423,-0.55,0.0,0.37,-77.0,-10.0,-35.0,24.97,47.0,100.85,-137.3,-0.4,187.4,122.6,-48.5
65659.0,0.0068,-0.6842,-0.7429,-0.49,-0.06,0.31,-80.0,-7.0,-28.0,24.97,47.0,100.85,-137.4,-0.4,185.0,107.9,-49.6
