,0
0,"83980, -0.3044, -0.0825, -0.9493, -0.31, 0.18, 0.31, -11.00, 0.00, -40.00, 25.87, 46.4, 100.83, -175.0, 17.7, 180.0, 549.0, -35.5"
1,"84191, -0.3019, -0.0824, -0.9491, -0.43, 0.12, 0.43, -12.00, -1.00, -38.00, 25.86, 46.5, 100.83, -175.0, 17.6, 184.8, 772.9, -32.5"
2,"84402, -0.3036, -0.0768, -0.9497, 0.31, 0.37, -0.12, -11.00, 0.00, -36.00, 25.86, 46.7, 100.83, -175.4, 17.7, 180.0, 749.4, -32.8"
3,"84614, -0.3037, -0.0792, -0.9496, -0.18, 0.06, 0.43, -8.00, 1.00, -33.00, 25.87, 46.9, 100.83, -175.2, 17.7, 172.9, 554.0, -35.4"
4,"84825, -0.3055, -0.0800, -0.9493, -0.43, 0.12, 0.31, -10.00, 2.00, -36.00, 25.86, 47.0, 100.83, -175.2, 17.8, 168.7, 1016.8, -30.2"
5,"85036, -0.3009, -0.0809, -0.9501, -0.98, -0.18, 0.61, -9.00, 0.00, -38.00, 25.87, 47.1, 100.83, -175.1, 17.5, 180.0, 819.1, -32.0"
6,"85247, -0.3044, -0.0824, -0.9491, 0.31, 0.24, 0.06, -9.00, 0.00, -38.00, 25.87, 47.1, 100.83, -175.0, 17.7, 180.0, 507.0, -36.2"
7,"85459, -0.3032, -0.0786, -0.9500, -0.24, 0.12, 0.31, -8.00, 2.00, -37.00, 25.87, 47.1, 100.83, -175.3, 17.6, 166.0, 925.7, -31.0"
8,"85670, -0.3058, -0.0780, -0.9490, 0.12, 0.18, 0.06, -9.00, -1.00, -39.00, 25.87, 47.0, 100.83, -175.3, 17.8, 186.3, 839.4, -31.8"
9,"85881, -0.3042, -0.0784, -0.9512, -0.31, 0.06, 0.24, -9.00, 2.00, -34.00, 25.86, 47.0, 100.83, -175.3, 17.7, 167.5, 1583.3, -26.3"
